============= VM0 LOG START =============
Clock rate: 5 ticks per second
Peers: [1, 2]

Sent: 1 | System time: 2025-03-04 17:28:02.421567 | Logical Clock Time: 1
Received: 1 | System time: 2025-03-04 17:28:02.621022 | Logical Clock Time: 2 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:02.821376 | Logical Clock Time: 3
Sent: 4 | System time: 2025-03-04 17:28:03.022338 | Logical Clock Time: 4
Sent: 5 | System time: 2025-03-04 17:28:03.222538 | Logical Clock Time: 5
Internal event | System time: 2025-03-04 17:28:03.422516 | Logical Clock Time: 6
Internal event | System time: 2025-03-04 17:28:03.622859 | Logical Clock Time: 7
Received: 7 | System time: 2025-03-04 17:28:03.823138 | Logical Clock Time: 8 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:04.023549 | Logical Clock Time: 9
Internal event | System time: 2025-03-04 17:28:04.223803 | Logical Clock Time: 10
Sent: 11 | System time: 2025-03-04 17:28:04.425965 | Logical Clock Time: 11
Sent: 12 | System time: 2025-03-04 17:28:04.624907 | Logical Clock Time: 12
Sent: 13 | System time: 2025-03-04 17:28:04.826872 | Logical Clock Time: 13
Internal event | System time: 2025-03-04 17:28:05.025299 | Logical Clock Time: 14
Internal event | System time: 2025-03-04 17:28:05.225684 | Logical Clock Time: 15
Internal event | System time: 2025-03-04 17:28:05.426104 | Logical Clock Time: 16
Internal event | System time: 2025-03-04 17:28:05.626652 | Logical Clock Time: 17
Internal event | System time: 2025-03-04 17:28:05.827159 | Logical Clock Time: 18
Internal event | System time: 2025-03-04 17:28:06.027578 | Logical Clock Time: 19
Internal event | System time: 2025-03-04 17:28:06.228028 | Logical Clock Time: 20
Sent: 21 | System time: 2025-03-04 17:28:06.429346 | Logical Clock Time: 21
Internal event | System time: 2025-03-04 17:28:06.628974 | Logical Clock Time: 22
Internal event | System time: 2025-03-04 17:28:06.829217 | Logical Clock Time: 23
Sent: 24 | System time: 2025-03-04 17:28:07.032556 | Logical Clock Time: 24
Internal event | System time: 2025-03-04 17:28:07.229731 | Logical Clock Time: 25
Internal event | System time: 2025-03-04 17:28:07.429985 | Logical Clock Time: 26
Sent: 27 | System time: 2025-03-04 17:28:07.630740 | Logical Clock Time: 27
Internal event | System time: 2025-03-04 17:28:07.830529 | Logical Clock Time: 28
Internal event | System time: 2025-03-04 17:28:08.030850 | Logical Clock Time: 29
Received: 29 | System time: 2025-03-04 17:28:08.231169 | Logical Clock Time: 30 | Message Queue Length: 0
Received: 30 | System time: 2025-03-04 17:28:08.431423 | Logical Clock Time: 31 | Message Queue Length: 0
