============= VM1 LOG START =============
Clock rate: 5 ticks per second
Peers: [0, 2]

Internal event | System time: 2025-03-04 17:31:11.826766 | Logical Clock Time: 1
Internal event | System time: 2025-03-04 17:31:12.027056 | Logical Clock Time: 2
Received: 2 | System time: 2025-03-04 17:31:12.227637 | Logical Clock Time: 3 | Message Queue Length: 0
Sent: 4 | System time: 2025-03-04 17:31:12.431187 | Logical Clock Time: 4
Internal event | System time: 2025-03-04 17:31:12.628083 | Logical Clock Time: 5
Internal event | System time: 2025-03-04 17:31:12.828287 | Logical Clock Time: 6
Internal event | System time: 2025-03-04 17:31:13.028704 | Logical Clock Time: 7
Internal event | System time: 2025-03-04 17:31:13.229044 | Logical Clock Time: 8
Internal event | System time: 2025-03-04 17:31:13.429395 | Logical Clock Time: 9
Internal event | System time: 2025-03-04 17:31:13.629729 | Logical Clock Time: 10
Sent: 11 | System time: 2025-03-04 17:31:13.832952 | Logical Clock Time: 11
Internal event | System time: 2025-03-04 17:31:14.030407 | Logical Clock Time: 12
Internal event | System time: 2025-03-04 17:31:14.230874 | Logical Clock Time: 13
Sent: 14 | System time: 2025-03-04 17:31:14.432037 | Logical Clock Time: 14
Internal event | System time: 2025-03-04 17:31:14.632153 | Logical Clock Time: 15
Internal event | System time: 2025-03-04 17:31:14.832537 | Logical Clock Time: 16
Internal event | System time: 2025-03-04 17:31:15.032975 | Logical Clock Time: 17
Received: 17 | System time: 2025-03-04 17:31:15.233235 | Logical Clock Time: 18 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:15.433486 | Logical Clock Time: 19
Sent: 20 | System time: 2025-03-04 17:31:15.634471 | Logical Clock Time: 20
Internal event | System time: 2025-03-04 17:31:15.834122 | Logical Clock Time: 21
Internal event | System time: 2025-03-04 17:31:16.034526 | Logical Clock Time: 22
Internal event | System time: 2025-03-04 17:31:16.234929 | Logical Clock Time: 23
Internal event | System time: 2025-03-04 17:31:16.435307 | Logical Clock Time: 24
Internal event | System time: 2025-03-04 17:31:16.635589 | Logical Clock Time: 25
Received: 24 | System time: 2025-03-04 17:31:16.835755 | Logical Clock Time: 26 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:17.036019 | Logical Clock Time: 27
Sent: 28 | System time: 2025-03-04 17:31:17.237920 | Logical Clock Time: 28
Sent: 29 | System time: 2025-03-04 17:31:17.439396 | Logical Clock Time: 29
Internal event | System time: 2025-03-04 17:31:17.637475 | Logical Clock Time: 30
Internal event | System time: 2025-03-04 17:31:17.837610 | Logical Clock Time: 31
Sent: 32 | System time: 2025-03-04 17:31:18.050433 | Logical Clock Time: 32
Internal event | System time: 2025-03-04 17:31:18.238178 | Logical Clock Time: 33
Internal event | System time: 2025-03-04 17:31:18.438432 | Logical Clock Time: 34
Sent: 35 | System time: 2025-03-04 17:31:18.640066 | Logical Clock Time: 35
Internal event | System time: 2025-03-04 17:31:18.838835 | Logical Clock Time: 36
Internal event | System time: 2025-03-04 17:31:19.039235 | Logical Clock Time: 37
Internal event | System time: 2025-03-04 17:31:19.239763 | Logical Clock Time: 38
Sent: 39 | System time: 2025-03-04 17:31:19.440593 | Logical Clock Time: 39
Sent: 40 | System time: 2025-03-04 17:31:19.640958 | Logical Clock Time: 40
Internal event | System time: 2025-03-04 17:31:19.840819 | Logical Clock Time: 41
Sent: 42 | System time: 2025-03-04 17:31:20.043182 | Logical Clock Time: 42
Internal event | System time: 2025-03-04 17:31:20.241583 | Logical Clock Time: 43
