============= VM1 LOG START =============
Clock rate: 1 ticks per second
Peers: [0, 2]

Sent: 1 | System time: 2025-02-27 19:25:10.423471 | Logical Clock Time: 1
Received: 5 | System time: 2025-02-27 19:25:11.421635 | Logical Clock Time: 6 | Message Queue Length: 0
Internal event | System time: 2025-02-27 19:25:12.421689 | Logical Clock Time: 7
Received: 14 | System time: 2025-02-27 19:25:13.422219 | Logical Clock Time: 15 | Message Queue Length: 0
Received: 16 | System time: 2025-02-27 19:25:14.422413 | Logical Clock Time: 17 | Message Queue Length: 2
Received: 19 | System time: 2025-02-27 19:25:15.422834 | Logical Clock Time: 20 | Message Queue Length: 3
Received: 20 | System time: 2025-02-27 19:25:16.423159 | Logical Clock Time: 21 | Message Queue Length: 3
Received: 22 | System time: 2025-02-27 19:25:17.423281 | Logical Clock Time: 23 | Message Queue Length: 5
Received: 24 | System time: 2025-02-27 19:25:18.423744 | Logical Clock Time: 25 | Message Queue Length: 6
Received: 26 | System time: 2025-02-27 19:25:19.424736 | Logical Clock Time: 27 | Message Queue Length: 8
Received: 31 | System time: 2025-02-27 19:25:20.425919 | Logical Clock Time: 32 | Message Queue Length: 9
Received: 33 | System time: 2025-02-27 19:25:21.426931 | Logical Clock Time: 34 | Message Queue Length: 8
Received: 35 | System time: 2025-02-27 19:25:22.427172 | Logical Clock Time: 36 | Message Queue Length: 10
Received: 37 | System time: 2025-02-27 19:25:23.427489 | Logical Clock Time: 38 | Message Queue Length: 10
Received: 39 | System time: 2025-02-27 19:25:24.428003 | Logical Clock Time: 40 | Message Queue Length: 13
Received: 41 | System time: 2025-02-27 19:25:25.428279 | Logical Clock Time: 42 | Message Queue Length: 13
Received: 41 | System time: 2025-02-27 19:25:26.428618 | Logical Clock Time: 43 | Message Queue Length: 14
Received: 43 | System time: 2025-02-27 19:25:27.428759 | Logical Clock Time: 44 | Message Queue Length: 13
Received: 47 | System time: 2025-02-27 19:25:28.429387 | Logical Clock Time: 48 | Message Queue Length: 15
Received: 47 | System time: 2025-02-27 19:25:29.429811 | Logical Clock Time: 49 | Message Queue Length: 15
Received: 56 | System time: 2025-02-27 19:25:30.430595 | Logical Clock Time: 57 | Message Queue Length: 16
Received: 59 | System time: 2025-02-27 19:25:31.430580 | Logical Clock Time: 60 | Message Queue Length: 16
Received: 60 | System time: 2025-02-27 19:25:32.431176 | Logical Clock Time: 61 | Message Queue Length: 15
Received: 63 | System time: 2025-02-27 19:25:33.431485 | Logical Clock Time: 64 | Message Queue Length: 14
Received: 67 | System time: 2025-02-27 19:25:34.431766 | Logical Clock Time: 68 | Message Queue Length: 16
Received: 68 | System time: 2025-02-27 19:25:35.431967 | Logical Clock Time: 69 | Message Queue Length: 18
Received: 68 | System time: 2025-02-27 19:25:36.432217 | Logical Clock Time: 70 | Message Queue Length: 20
Received: 69 | System time: 2025-02-27 19:25:37.433268 | Logical Clock Time: 71 | Message Queue Length: 20
Received: 72 | System time: 2025-02-27 19:25:38.433555 | Logical Clock Time: 73 | Message Queue Length: 21
Received: 77 | System time: 2025-02-27 19:25:39.434380 | Logical Clock Time: 78 | Message Queue Length: 22
Received: 78 | System time: 2025-02-27 19:25:40.434505 | Logical Clock Time: 79 | Message Queue Length: 24
Received: 86 | System time: 2025-02-27 19:25:41.434693 | Logical Clock Time: 87 | Message Queue Length: 23
Received: 87 | System time: 2025-02-27 19:25:42.434980 | Logical Clock Time: 88 | Message Queue Length: 25
Received: 89 | System time: 2025-02-27 19:25:43.435252 | Logical Clock Time: 90 | Message Queue Length: 25
Received: 95 | System time: 2025-02-27 19:25:44.435559 | Logical Clock Time: 96 | Message Queue Length: 26
Received: 97 | System time: 2025-02-27 19:25:45.435865 | Logical Clock Time: 98 | Message Queue Length: 27
Received: 98 | System time: 2025-02-27 19:25:46.436050 | Logical Clock Time: 99 | Message Queue Length: 29
Received: 101 | System time: 2025-02-27 19:25:47.436360 | Logical Clock Time: 102 | Message Queue Length: 31
Received: 116 | System time: 2025-02-27 19:25:48.437443 | Logical Clock Time: 117 | Message Queue Length: 31
Received: 118 | System time: 2025-02-27 19:25:49.436851 | Logical Clock Time: 119 | Message Queue Length: 32
Received: 119 | System time: 2025-02-27 19:25:50.437343 | Logical Clock Time: 120 | Message Queue Length: 33
Received: 122 | System time: 2025-02-27 19:25:51.437803 | Logical Clock Time: 123 | Message Queue Length: 33
Received: 123 | System time: 2025-02-27 19:25:52.438399 | Logical Clock Time: 124 | Message Queue Length: 35
Received: 125 | System time: 2025-02-27 19:25:53.438661 | Logical Clock Time: 126 | Message Queue Length: 35
Received: 127 | System time: 2025-02-27 19:25:54.438984 | Logical Clock Time: 128 | Message Queue Length: 36
Received: 128 | System time: 2025-02-27 19:25:55.439150 | Logical Clock Time: 129 | Message Queue Length: 36
Received: 128 | System time: 2025-02-27 19:25:56.439299 | Logical Clock Time: 130 | Message Queue Length: 37
Received: 133 | System time: 2025-02-27 19:25:57.439890 | Logical Clock Time: 134 | Message Queue Length: 39
Received: 137 | System time: 2025-02-27 19:25:58.440170 | Logical Clock Time: 138 | Message Queue Length: 40
Received: 138 | System time: 2025-02-27 19:25:59.440363 | Logical Clock Time: 139 | Message Queue Length: 41
Received: 142 | System time: 2025-02-27 19:26:00.440707 | Logical Clock Time: 143 | Message Queue Length: 41
Received: 143 | System time: 2025-02-27 19:26:01.441149 | Logical Clock Time: 144 | Message Queue Length: 42
Received: 146 | System time: 2025-02-27 19:26:02.441388 | Logical Clock Time: 147 | Message Queue Length: 45
Received: 147 | System time: 2025-02-27 19:26:03.441792 | Logical Clock Time: 148 | Message Queue Length: 46
Received: 149 | System time: 2025-02-27 19:26:04.442093 | Logical Clock Time: 150 | Message Queue Length: 47
Received: 156 | System time: 2025-02-27 19:26:05.442362 | Logical Clock Time: 157 | Message Queue Length: 48
Received: 158 | System time: 2025-02-27 19:26:06.442435 | Logical Clock Time: 159 | Message Queue Length: 49
Received: 159 | System time: 2025-02-27 19:26:07.442937 | Logical Clock Time: 160 | Message Queue Length: 49
Received: 164 | System time: 2025-02-27 19:26:08.443221 | Logical Clock Time: 165 | Message Queue Length: 50

============= VM LOG END =============
