============= VM1 LOG START =============
Clock rate: 1 ticks per second
Peers: [0, 2]

Internal event | System time: 2025-02-25 22:35:11.901136 | Logical Clock Time: 1
Received: 1 | System time: 2025-02-25 22:35:12.901607 | Logical Clock Time: 2 | Message Queue Length: 1 
Received: 4 | System time: 2025-02-25 22:35:13.901987 | Logical Clock Time: 5 | Message Queue Length: 0 
Received: 11 | System time: 2025-02-25 22:35:14.902257 | Logical Clock Time: 12 | Message Queue Length: 1 
Received: 12 | System time: 2025-02-25 22:35:15.902514 | Logical Clock Time: 13 | Message Queue Length: 1 
Received: 19 | System time: 2025-02-25 22:35:16.903083 | Logical Clock Time: 20 | Message Queue Length: 2 
Received: 23 | System time: 2025-02-25 22:35:17.903455 | Logical Clock Time: 24 | Message Queue Length: 3 
Received: 24 | System time: 2025-02-25 22:35:18.903919 | Logical Clock Time: 25 | Message Queue Length: 5 
Received: 27 | System time: 2025-02-25 22:35:19.904489 | Logical Clock Time: 28 | Message Queue Length: 5 
Received: 28 | System time: 2025-02-25 22:35:20.904920 | Logical Clock Time: 29 | Message Queue Length: 6 
Received: 31 | System time: 2025-02-25 22:35:21.905381 | Logical Clock Time: 32 | Message Queue Length: 6 
Received: 32 | System time: 2025-02-25 22:35:22.905613 | Logical Clock Time: 33 | Message Queue Length: 7 
Received: 33 | System time: 2025-02-25 22:35:23.905913 | Logical Clock Time: 34 | Message Queue Length: 8 
Received: 39 | System time: 2025-02-25 22:35:24.906116 | Logical Clock Time: 40 | Message Queue Length: 10 
Received: 42 | System time: 2025-02-25 22:35:25.906270 | Logical Clock Time: 43 | Message Queue Length: 12 
Received: 43 | System time: 2025-02-25 22:35:26.906571 | Logical Clock Time: 44 | Message Queue Length: 11 
Received: 46 | System time: 2025-02-25 22:35:27.907531 | Logical Clock Time: 47 | Message Queue Length: 13 
Received: 51 | System time: 2025-02-25 22:35:28.908687 | Logical Clock Time: 52 | Message Queue Length: 14 
Received: 51 | System time: 2025-02-25 22:35:29.909115 | Logical Clock Time: 53 | Message Queue Length: 14 
Received: 59 | System time: 2025-02-25 22:35:30.909780 | Logical Clock Time: 60 | Message Queue Length: 15 
